Drift (%),Base Shear (kN)
0.0005813953488372081,5.136875041396885
0.0011627906976744173,10.272940710901064
0.0017441860465116268,15.408143691650466
0.002325581395348836,20.542413322771864
0.002906976744186045,25.6756916519812
0.003488372093023254,30.80792795901127
0.004069767441860463,35.93907554061879
0.004651162790697673,41.06909012671614
0.005232558139534882,46.19795851939411
0.005813953488372091,51.32563263812354
0.0063953488372093,56.452118512987404
0.00697674418604651,61.577396172074636
0.00755813953488372,66.70146865526252
0.00813953488372093,71.82432826393743
0.00872093023255814,76.94595310048015
0.00930232558139535,82.06636973922619
0.00988372093023256,87.18554804176061
0.010465116279069769,92.30349917848827
0.01104651162790698,97.4202149301635
0.011627906976744188,102.53135643772792
0.012209302325581399,107.63369369186985
0.012790697674418608,112.7250496064456
0.013372093023255817,117.80656055947671
0.013953488372093028,122.87609754392965
0.014534883720930238,127.93288542398123
0.015116279069767449,132.97477347330616
0.015697674418604656,137.99873105924732
0.016279069767441867,143.0095177020434
0.016860465116279078,148.00989752925193
0.01744186046511629,153.0010577796758
0.018023255813953497,157.98300577315086
0.018604651162790708,162.96059865518396
0.01918604651162792,167.93044128374208
0.019767441860465126,172.8965616816036
0.020348837209302337,177.85401383096945
0.020930232558139545,182.7976202828338
0.021511627906976756,187.7246986307268
0.022093023255813964,192.6295713710818
0.022674418604651175,197.5150973195309
0.023255813953488382,202.3870514791585
0.02383720930232559,207.24057635441253
0.024418604651162797,212.07108117795212
0.025000000000000005,216.8669394618167
0.02558139534883721,221.6506886033521
0.02616279069767442,226.4276865658063
0.026744186046511624,231.18034412653185
0.027325581395348835,235.8826205888809
0.02790697674418604,240.54716487276198
0.02848837209302325,245.1858152084222
0.029069767441860454,249.80562738328746
0.029651162790697665,254.39534673235576
0.03023255813953487,258.94281827894775
0.030813953488372077,263.4697821947443
0.031395348837209285,267.9577240927127
0.03197674418604649,272.42748307280755
0.0325581395348837,276.8667924182624
0.03313953488372091,281.28028077258136
0.033720930232558115,285.67854067641105
0.03430232558139532,290.04784448385584
0.03488372093023252,294.39118793727704
0.03546511627906974,298.70431922871967
0.03604651162790694,303.0006652077593
0.03662790697674415,307.29219757135405
0.03720930232558135,311.5753137673196
0.03779069767441857,315.8431972510571
0.03837209302325577,320.099770665982
0.03895348837209298,324.3520266787207
0.03953488372093018,328.6016925116645
0.04011627906976739,332.84872264378845
0.0406976744186046,337.09014132738474
0.041279069767441806,341.31265157977435
0.041860465116279014,345.5154015950072
0.04244186046511622,349.7113439459664
0.04302325581395343,353.8965244732342
0.043604651162790636,358.04905985260814
0.044186046511627844,362.1605799985563
0.04476744186046505,366.2360846444327
0.04534883720930226,370.28253784968416
0.04593023255813947,374.3054019294264
0.046511627906976674,378.3235375065687
0.04709302325581388,382.3388754030654
0.04767441860465108,386.35221936396755
0.0482558139534883,390.3538320685496
0.048837209302325504,394.3350805590326
0.04941860465116271,398.28856460845395
0.04999999999999991,402.2278167309233
0.05058139534883712,406.157337427696
0.051162790697674335,410.0742357144384
0.05174418604651154,413.9815776701122
0.05232558139534874,417.8661859665806
0.05290697674418595,421.7405921222008
0.053488372093023165,425.6099614504281
0.054069767441860365,429.475771628778
0.05465116279069757,433.3359006532574
0.055232558139534774,437.18309871623745
0.055813953488371995,441.0255673837468
0.056395348837209196,444.8634446305281
0.0569767441860464,448.69536922298954
0.057558139534883604,452.5193137820659
0.05813953488372082,456.3346073412865
0.058720930232558026,460.13463392444936
0.05930232558139523,463.91518702004606
0.059883720930232434,467.66940554819286
0.06046511627906965,471.40375243786343
0.061046511627906856,475.12483849110527
0.06162790697674406,478.83523514572624
0.062209302325581264,482.540397113579
0.06279069767441847,486.2338002860071
0.06337209302325568,489.9109698759824
0.06395348837209289,493.57494972280057
0.0645348837209301,497.2303659691008
0.0651162790697673,500.87835707748553
0.06569767441860451,504.51787821211315
0.06627906976744172,508.15547706497836
0.06686046511627892,511.79192894499397
0.06744186046511613,515.4184654225992
0.06802325581395334,519.0297760143287
0.06860465116279055,522.6323118960761
0.06918604651162776,526.2284202149353
0.06976744186046496,529.818305502754
0.07034883720930217,533.4008684011836
0.07093023255813938,536.976391892427
0.07151162790697659,540.545203460179
0.07209302325581379,544.10917005825
0.072674418604651,547.666755256421
0.07325581395348821,551.199716618032
0.0738372093023254,554.6923650460426
0.07441860465116262,558.1654643168168
0.07499999999999983,561.6284955919664
0.07558139534883704,565.0808622380715
0.07616279069767423,568.5296851312464
0.07674418604651145,571.9640487631874
0.07732558139534866,575.3882019320624
0.07790697674418587,578.8066993981902
0.07848837209302306,582.2132461632036
0.07906976744186028,585.6127135391871
0.07965116279069749,589.0083507692448
0.08023255813953468,592.3978595214866
0.08081395348837189,595.7766384823686
0.08139534883720911,599.1381689860737
0.08197674418604632,602.4914325743234
0.08255813953488352,605.8347828509399
0.08313953488372072,609.1668208752847
0.08372093023255794,612.4894071626059
0.08430232558139514,615.807455514441
0.08488372093023235,619.1206009962048
0.08546511627906955,622.4304725069429
0.08604651162790677,625.7363639476017
0.08662790697674397,629.0290170106394
0.08720930232558118,632.3129230180253
0.08779069767441838,635.5904524743521
0.08837209302325559,638.8651630800982
0.0889534883720928,642.1351810914755
0.08953488372093,645.3898336474216
0.09011627906976721,648.6360091148329
0.09069767441860442,651.8730290361972
0.09127906976744163,655.1013145204429
0.09186046511627884,658.3272141720852
0.09244186046511604,661.5497789838474
0.09302325581395325,664.7644717359035
0.09360465116279046,667.9753745991926
0.09418604651162768,671.1827115144491
0.09476744186046489,674.3863533676653
0.09534883720930211,677.5875281555075
0.09593023255813933,680.7818955704957
0.09651162790697655,683.9739951382255
0.09709302325581376,687.1648098744473
0.097674418604651,690.3541181317925
0.0982558139534882,693.5388705156136
0.09883720930232542,696.7182835136322
0.09941860465116263,699.88913712013
0.09999999999999985,703.0570937042548
0.10058139534883706,706.2209915334148
0.10116279069767428,709.3821232838602
0.1017441860465115,712.5399455386421
0.10232558139534871,715.6839092249062
0.10290697674418595,718.8227860185831
0.10348837209302317,721.9495110110913
0.10406976744186038,725.071144978755
0.1046511627906976,728.1890609840677
0.1052325581395348,731.2951255151285
0.10581395348837203,734.3980230021168
0.10639534883720925,737.493305482489
0.10697674418604645,740.5764083847246
0.10755813953488368,743.6426887382264
0.10813953488372088,746.7016036731917
0.10872093023255812,749.7594396012789
0.10930232558139534,752.8159530463425
0.10988372093023255,755.8708613593066
0.11046511627906977,758.9240698912937
0.11104651162790699,761.9755580732588
0.1116279069767442,765.019476308783
0.11220930232558142,768.058794430108
0.11279069767441863,771.0953144230788
0.11337209302325585,774.1263482762847
0.11395348837209306,777.1531959260853
0.1145348837209303,780.1741039668669
0.11511627906976751,783.1800052478433
0.11569767441860473,786.1790797578199
0.11627906976744194,789.1750446550701
0.11686046511627916,792.1639335444828
0.11744186046511637,795.1497255303277
0.11802325581395359,798.1271441050959
0.11860465116279081,801.0977077265725
0.11918604651162802,804.064547085828
0.11976744186046524,807.0300614276338
0.12034883720930248,809.9940607296882
0.12093023255813969,812.9564810488984
0.12151162790697691,815.916265247846
0.12209302325581411,818.8699427562005
0.12267441860465134,821.812549490228
0.12325581395348856,824.7499648680371
0.12383720930232577,827.6850585649894
0.12441860465116299,830.618156638239
0.1250000000000002,833.5459956221254
0.12558139534883744,836.4603184391766
0.12616279069767464,839.3543907134358
0.12674418604651186,842.2398859931196
0.12732558139534908,845.1237658561298
0.1279069767441863,848.0049050798922
0.12848837209302352,850.8820566670524
0.12906976744186072,853.7542012802161
0.12965116279069794,856.6221416444922
0.13023255813953516,859.48049855287
0.13081395348837238,862.3350666808171
0.1313953488372096,865.1871606178911
0.13197674418604682,868.0360227434226
0.13255813953488405,870.8819634611558
0.13313953488372127,873.721356890693
0.13372093023255846,876.555591236412
0.13430232558139568,879.3878544907908
0.1348837209302329,882.2135126809665
0.13546511627907012,885.0348268776836
0.13604651162790735,887.8546510843819
0.13662790697674454,890.6680193736144
0.1372093023255818,893.4758197251532
0.137790697674419,896.2811405752188
0.1383720930232562,899.0839336335476
0.13895348837209343,901.8843293510034
0.13953488372093065,904.6777661145338
0.14011627906976787,907.458322042274
0.1406976744186051,910.2342876607725
0.14127906976744228,913.006895177843
0.1418604651162795,915.7716303735494
0.14244186046511673,918.5290780411192
0.14302325581395395,921.2815467166984
0.14360465116279117,924.0250421256688
0.1441860465116284,926.7647426690987
0.1447674418604656,929.5014963232197
0.14534883720930283,932.231834622262
0.14593023255814003,934.9588133005889
0.14651162790697725,937.6829303390253
0.14709302325581447,940.4043817253518
0.1476744186046517,943.1183404313286
0.1482558139534889,945.8283755388594
0.14883720930232613,948.5339158633841
0.14941860465116336,951.2290696859712
0.15000000000000058,953.9190321946032
0.15058139534883777,956.607033873558
0.151162790697675,959.2933245699476
0.1517441860465122,961.9764029492159
0.15232558139534944,964.656305131759
0.15290697674418666,967.3333264985688
0.15348837209302385,970.0063709402449
0.15406976744186107,972.6728257455866
0.15465116279069832,975.3359195836767
0.15523255813953551,977.9935927688313
0.15581395348837274,980.646761985889
0.15639534883720996,983.2980443586112
0.15697674418604718,985.9470817432305
0.1575581395348844,988.5937285244279
0.1581395348837216,991.2385536733541
0.15872093023255882,993.8812449572201
