Drift (%),Base Shear (kN)
0.0005813953488372109,1.3019222666587311
0.0011627906976744203,2.6036717990768885
0.0017441860465116294,3.905246248404147
0.002325581395348839,5.206642385122768
0.0029069767441860478,6.5078596994973115
0.003488372093023257,7.808897854241484
0.004069767441860466,9.109756480520259
0.004651162790697675,10.410435347246624
0.0052325581395348845,11.710934065147711
0.005813953488372094,13.011251948336845
0.006395348837209304,14.311388706619033
0.006976744186046514,15.611343126584005
0.007558139534883724,16.91111514262911
0.008139534883720934,18.210703395951604
0.008720930232558145,19.510107797767738
0.009302325581395354,20.80932791720148
0.009883720930232563,22.108363785359085
0.010465116279069773,23.407215278664193
0.011046511627906982,24.705881631005038
0.011627906976744191,26.004363597051363
0.0122093023255814,27.30266040108724
0.012790697674418611,28.60077218256678
0.01337209302325582,29.898697521074375
0.01395348837209303,31.19643725085543
0.014534883720930241,32.493990495061134
0.01511627906976745,33.79135804841968
0.01569767441860466,35.08853721307431
0.01627906976744187,36.38553162970632
0.01686046511627908,37.68233729602617
0.01744186046511629,38.978950353886496
0.0180232558139535,40.275377684227955
0.01860465116279071,41.57161897435842
0.01918604651162792,42.86766587299597
0.01976744186046513,44.163519235385685
0.020348837209302337,45.45919636684936
0.02093023255813955,46.75468015183361
0.021511627906976756,48.049977379037784
0.022093023255813967,49.34507217276264
0.022674418604651178,50.639988965997254
0.023255813953488386,51.9346922181645
0.023837209302325593,53.22919240313828
0.0244186046511628,54.523481225855654
0.025000000000000012,55.81757068965154
0.025581395348837216,57.11151984288752
0.026162790697674427,58.405229174933474
0.02674418604651163,59.6987636327375
0.02732558139534884,60.99210104773759
0.027906976744186046,62.285285666268095
0.028488372093023254,63.5782341077154
0.029069767441860458,64.87099613444914
0.02965116279069767,66.16362609434982
0.030232558139534873,67.4560073198414
0.030813953488372084,68.74816725458805
0.03139534883720929,70.04016288090342
0.0319767441860465,71.33190609466745
0.0325581395348837,72.62326611848566
0.033139534883720914,73.91468141520136
0.033720930232558115,75.20587099375733
0.03430232558139533,76.4967824299245
0.03488372093023253,77.78692350898113
0.035465116279069744,79.07680117539373
0.036046511627906945,80.3659330585032
0.03662790697674416,81.65496868286017
0.03720930232558136,82.94379825380881
0.03779069767441857,84.23204478561277
0.038372093023255775,85.51988221075453
0.03895348837209298,86.80717249250412
0.03953488372093019,88.09408932309202
0.0401162790697674,89.38079953739407
0.040697674418604605,90.6673575467247
0.04127906976744181,91.9535906261282
0.04186046511627902,93.23939163062306
0.04244186046511623,94.52490943635483
0.043023255813953436,95.80965120375386
0.04360465116279064,97.09341079445815
0.044186046511627844,98.3765313740483
0.04476744186046506,99.65889310977163
0.04534883720930226,100.9405619763749
0.045930232558139474,102.22153549375284
0.046511627906976674,103.50204937253996
0.04709302325581389,104.78218838490027
0.047674418604651096,106.06100063279702
0.048255813953488304,107.33837695681112
0.04883720930232552,108.61431619631367
0.04941860465116272,109.88961699546394
0.049999999999999926,111.16359825083782
0.05058139534883713,112.43554750295725
0.05116279069767435,113.705586386501
0.05174418604651155,114.97394895813679
0.05232558139534876,116.24072792197357
0.05290697674418596,117.50647023540782
0.05348837209302317,118.77185383253621
0.05406976744186038,120.03656974774748
0.05465116279069758,121.29982751123532
0.05523255813953479,122.56051721598091
0.055813953488372,123.81971184829045
0.05639534883720921,125.07696331897334
0.05697674418604641,126.33104469491404
0.05755813953488362,127.58131209192538
0.05813953488372083,128.8290583925958
0.05872093023255803,130.07497544222835
