PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,0.0,0.0,0.0
0.002002002002002002,3.470222033920147e-245,1.723807839906377e-296,0.0
0.004004004004004004,8.374162243511155e-190,1.8816278472422182e-234,0.0
0.006006006006006006,1.0177070924757471e-160,1.4683948855437004e-201,1.6142097626457567e-302
0.008008008008008008,1.4495155134251956e-141,9.629622326445018e-180,1.2336942019670654e-271
0.01001001001001001,1.4816042547449027e-127,1.0885369919665056e-163,7.819296616738361e-249
0.012012012012012012,1.1695143946415244e-116,3.887535757944124e-151,5.971087835841577e-231
0.014014014014014014,7.873371378764411e-108,6.420095320594001e-141,2.351099640157243e-216
0.016016016016016016,1.8117298012448148e-100,2.3219147227626076e-132,4.22428677224119e-204
0.018018018018018018,3.403482180509994e-94,4.888768231513105e-125,1.366637734103491e-193
0.02002002002002002,9.320945114615577e-89,1.150773007416409e-118,1.9923066026077578e-184
0.022022022022022022,5.575654775628932e-84,4.777833632765302e-113,2.4863101396057702e-176
0.024024024024024024,9.759520850886765e-80,4.8686353148575595e-108,4.2307458488780716e-169
0.026026026026026026,6.215479148499353e-76,1.5581457486098788e-103,1.3899002386784295e-162
0.028028028028028028,1.7009177753477343e-72,1.8912309588013835e-99,1.1505278773925929e-156
0.03003003003003003,2.2770939709784992e-69,1.0087370398063627e-95,2.954887301897239e-151
0.03203203203203203,1.652976062285636e-66,2.6579325412816434e-92,2.778521415796052e-146
0.03403403403403403,7.069046728849721e-64,3.80249502836714e-89,1.0934254459499455e-141
0.036036036036036036,1.905825073069028e-61,3.1908530240721587e-86,2.0091073472187672e-137
0.03803803803803804,3.4256771079738405e-59,1.6742771651844037e-83,1.887233572880335e-133
0.04004004004004004,4.301863794220172e-57,5.794989508927179e-81,9.776994471460825e-130
0.04204204204204204,3.925836732625048e-55,1.384156539682184e-78,2.978346445489419e-126
0.044044044044044044,2.6923230210220135e-53,2.3708913620497956e-76,5.634360808103459e-123
0.04604604604604605,1.427940102006334e-51,3.0098503663486692e-74,6.93688243661889e-120
0.04804804804804805,6.003949354498606e-50,2.9137142033714736e-72,5.787922350995073e-117
0.050050050050050046,2.0447792875834348e-48,2.2047651406371402e-70,3.3901336297897096e-114
0.05205205205205205,5.747678687704759e-47,1.332551237608718e-68,1.4375661548574978e-111
0.05405405405405406,1.3556066628762881e-45,6.556419129686946e-67,4.534434905881449e-109
0.056056056056056056,2.721983985034573e-44,2.670554203206282e-65,1.0896872617558446e-106
0.058058058058058054,4.713519556651679e-43,9.140213195124133e-64,2.0379593184327794e-104
0.06006006006006006,7.120240307938584e-42,2.663756460117261e-62,3.0229695775575815e-102
0.062062062062062065,9.479490803016924e-41,6.68914773964556e-61,3.6172791519727413e-100
0.06406406406406406,1.1225576743480453e-39,1.46289409271815e-59,3.545326124253e-98
0.06606606606606606,1.1922256389173838e-38,2.8131289994518826e-58,2.885488863512902e-96
0.06806806806806806,1.1441375410777205e-37,4.798092413866318e-57,1.9745296581507308e-94
0.07007007007007007,9.98862367498198e-37,7.315852426112133e-56,1.1488921209671878e-92
0.07207207207207207,7.981944062037733e-36,1.0043456546766763e-54,5.742672056290313e-91
0.07407407407407407,5.871065399683504e-35,1.2495487922149825e-53,2.4889961275785434e-89
0.07607607607607608,3.995291960495459e-34,1.417297026023578e-52,9.434488925278352e-88
0.07807807807807808,2.5271643630670463e-33,1.4735838631086967e-51,3.1520650762026806e-86
0.08008008008008008,1.492223476855711e-32,1.4114640059786836e-50,9.34924217319253e-85
0.08208208208208208,8.257742870726864e-32,1.2512570481358206e-49,2.4781963881728904e-83
0.08408408408408408,4.298259924002824e-31,1.0309786846177415e-48,5.906411651320278e-82
0.08608608608608609,2.1114610098713116e-30,7.926532323077642e-48,1.2728875024407758e-80
0.08808808808808809,9.819246348011082e-30,5.707213861816346e-47,2.4934619405463168e-79
0.09009009009009009,4.3353525953725654e-29,3.8613078113281806e-46,4.461342711703246e-78
0.0920920920920921,1.8221262950550031e-28,2.4624746935524665e-45,7.323742721184474e-77
0.0940940940940941,7.30828134186257e-28,1.484564599109968e-44,1.107704893091185e-75
0.0960960960960961,2.803724798845446e-27,8.483848683823544e-44,1.5496505267370584e-74
0.0980980980980981,1.0310308296858577e-26,4.607346624859965e-43,2.01253963874204e-73
0.10010010010010009,3.641622206262804e-26,2.383409008446174e-42,2.434641788375726e-72
