PGA (g),PoE (IO Bare),PoE (IO Concrete Jacketing),PoE (LS Bare),PoE (LS Concrete Jacketing),PoE (CP Bare),PoE (CP Concrete Jacketing)
1.053053053,1,0.9994468031,1,0.6428873035,1,0.02993234831
1.055055055,1,0.9994681147,1,0.6470800376,1,0.03082387726
1.057057057,1,0.9994886262,1,0.6512470899,1,0.03173552348
1.059059059,1,0.9995083669,1,0.6553881431,1,0.03266754553
1.061061061,1,0.9995273646,1,0.6595028906,1,0.03362020016
1.063063063,1,0.9995456464,1,0.6635910365,1,0.03459374214
1.065065065,1,0.9995632384,1,0.6676522956,1,0.03558842421
1.067067067,1,0.9995801658,1,0.671686393,1,0.03660449683
1.069069069,1,0.999596453,1,0.6756930646,1,0.03764220815
1.071071071,1,0.9996121234,1,0.6796720566,1,0.03870180376
1.073073073,1,0.9996271996,1,0.6836231255,1,0.03978352662
1.075075075,1,0.9996417035,1,0.6875460385,1,0.0408876169
1.077077077,1,0.9996556561,1,0.6914405726,1,0.04201431185
1.079079079,1,0.9996690778,1,0.6953065153,1,0.04316384562
1.081081081,1,0.9996819882,1,0.6991436643,1,0.04433644916
1.083083083,1,0.9996944062,1,0.702951827,1,0.04553235007
1.085085085,1,0.9997063501,1,0.706730821,1,0.04675177245
1.087087087,1,0.9997178373,1,0.7104804738,1,0.0479949368
1.089089089,1,0.999728885,1,0.7142006226,1,0.04926205981
1.091091091,1,0.9997395094,1,0.7178911142,1,0.05055335429
1.093093093,1,0.9997497263,1,0.7215518052,1,0.05186902904
1.095095095,1,0.9997595509,1,0.7251825614,1,0.05320928864
1.097097097,1,0.9997689978,1,0.7287832583,1,0.05457433341
1.099099099,1,0.9997780813,1,0.7323537804,1,0.05596435922
1.101101101,1,0.9997868149,1,0.7358940216,1,0.05737955738
1.103103103,1,0.9997952117,1,0.7394038847,1,0.05882011451
1.105105105,1,0.9998032843,1,0.7428832815,1,0.06028621243
1.107107107,1,0.9998110451,1,0.7463321325,1,0.06177802802
1.109109109,1,0.9998185057,1,0.7497503672,1,0.06329573308
1.111111111,1,0.9998256774,1,0.7531379234,1,0.06483949426
1.113113113,1,0.9998325712,1,0.7564947474,1,0.0664094729
1.115115115,1,0.9998391975,1,0.7598207941,1,0.06800582493
1.117117117,1,0.9998455665,1,0.7631160262,1,0.06962870076
1.119119119,1,0.9998516879,1,0.7663804149,1,0.07127824517
1.121121121,1,0.9998575712,1,0.7696139389,1,0.07295459718
1.123123123,1,0.9998632253,1,0.7728165852,1,0.07465788999
1.125125125,1,0.9998686591,1,0.7759883482,1,0.07638825083
1.127127127,1,0.9998738808,1,0.7791292299,1,0.07814580089
1.129129129,1,0.9998788986,1,0.7822392397,1,0.07993065521
1.131131131,1,0.9998837202,1,0.7853183944,1,0.08174292259
1.133133133,1,0.9998883532,1,0.7883667178,1,0.08358270551
1.135135135,1,0.9998928048,1,0.7913842409,1,0.08545010001
1.137137137,1,0.9998970818,1,0.7943710015,1,0.08734519564
1.139139139,1,0.9999011911,1,0.797327044,1,0.08926807537
1.141141141,1,0.999905139,1,0.8002524195,1,0.09121881548
1.143143143,1,0.9999089318,1,0.8031471858,1,0.09319748553
1.145145145,1,0.9999125754,1,0.8060114065,1,0.09520414828
1.147147147,1,0.9999160756,1,0.808845152,1,0.09723885957
1.149149149,1,0.9999194379,1,0.8116484982,1,0.09930166835
1.151151151,1,0.9999226676,1,0.8144215273,1,0.1013926165
1.153153153,1,0.9999257698,1,0.817164327,1,0.1035117389
1.155155155,1,0.9999287496,1,0.8198769908,1,0.1056590633
1.157157157,1,0.9999316115,1,0.8225596176,1,0.1078346102
1.159159159,1,0.9999343602,1,0.8252123118,1,0.110038393
1.161161161,1,0.9999370001,1,0.8278351828,1,0.1122704178
1.163163163,1,0.9999395354,1,0.8304283452,1,0.1145306833
1.165165165,1,0.9999419702,1,0.8329919185,1,0.1168191811
1.167167167,1,0.9999443083,1,0.8355260271,1,0.1191358951
1.169169169,1,0.9999465536,1,0.8380308,1,0.1214808022
1.171171171,1,0.9999487097,1,0.8405063707,1,0.1238538716
1.173173173,1,0.99995078,1,0.8429528772,1,0.126255065
1.175175175,1,0.9999527679,1,0.8453704616,1,0.128684337
1.177177177,1,0.9999546766,1,0.8477592704,1,0.1311416344
1.179179179,1,0.9999565093,1,0.8501194539,1,0.1336268966
1.181181181,1,0.9999582688,1,0.8524511662,1,0.1361400556
1.183183183,1,0.9999599581,1,0.8547545655,1,0.1386810359
1.185185185,1,0.9999615799,1,0.8570298134,1,0.1412497545
1.187187187,1,0.9999631369,1,0.8592770748,1,0.1438461208
1.189189189,1,0.9999646316,1,0.8614965183,1,0.1464700369
1.191191191,1,0.9999660665,1,0.8636883157,1,0.1491213974
1.193193193,1,0.9999674439,1,0.8658526417,1,0.1518000895
1.195195195,1,0.9999687661,1,0.8679896743,1,0.1545059929
1.197197197,1,0.9999700353,1,0.8700995941,1,0.15723898
1.199199199,1,0.9999712535,1,0.8721825846,1,0.1599989158
1.201201201,1,0.9999724228,1,0.874238832,1,0.1627856579
1.203203203,1,0.9999735451,1,0.8762685249,1,0.1655990568
1.205205205,1,0.9999746223,1,0.8782718545,1,0.1684389557
1.207207207,1,0.9999756561,1,0.8802490142,1,0.1713051904
1.209209209,1,0.9999766483,1,0.8822001994,1,0.1741975898
1.211211211,1,0.9999776005,1,0.884125608,1,0.1771159756
1.213213213,1,0.9999785144,1,0.8860254395,1,0.1800601623
1.215215215,1,0.9999793914,1,0.8878998955,1,0.1830299577
1.217217217,1,0.999980233,1,0.8897491793,1,0.1860251624
1.219219219,1,0.9999810406,1,0.8915734958,1,0.1890455703
1.221221221,1,0.9999818155,1,0.8933730516,1,0.1920909685
1.223223223,1,0.9999825591,1,0.8951480546,1,0.1951611372
1.225225225,1,0.9999832727,1,0.8968987141,1,0.1982558501
1.227227227,1,0.9999839573,1,0.8986252409,1,0.2013748744
1.229229229,1,0.9999846143,1,0.9003278467,1,0.2045179705
1.231231231,1,0.9999852446,1,0.9020067443,1,0.2076848928
1.233233233,1,0.9999858493,1,0.9036621476,1,0.210875389
1.235235235,1,0.9999864295,1,0.9052942715,1,0.2140892007
1.237237237,1,0.9999869862,1,0.9069033314,1,0.2173260635
1.239239239,1,0.9999875202,1,0.9084895438,1,0.2205857068
1.241241241,1,0.9999880326,1,0.9100531254,1,0.223867854
1.243243243,1,0.9999885241,1,0.911594294,1,0.2271722227
1.245245245,1,0.9999889956,1,0.9131132674,1,0.2304985248
1.247247247,1,0.999989448,1,0.9146102641,1,0.2338464666
1.249249249,1,0.9999898819,1,0.9160855029,1,0.2372157487
1.251251251,1,0.9999902981,1,0.9175392026,1,0.2406060664
1.253253253,1,0.9999906974,1,0.9189715825,1,0.2440171096
1.255255255,1,0.9999910804,1,0.9203828618,1,0.2474485631
1.257257257,1,0.9999914477,1,0.9217732598,1,0.2509001065
1.259259259,1,0.9999918001,1,0.9231429958,1,0.2543714145
1.261261261,1,0.9999921381,1,0.924492289,1,0.257862157
1.263263263,1,0.9999924622,1,0.9258213584,1,0.2613719989
1.265265265,1,0.9999927731,1,0.9271304226,1,0.264900601
1.267267267,1,0.9999930713,1,0.9284197003,1,0.2684476191
1.269269269,1,0.9999933573,1,0.9296894095,1,0.272012705
1.271271271,1,0.9999936316,1,0.930939768,1,0.2755955061
