PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,0.0,0.0,0.0
0.002002002002002002,6.8297410779639076e-155,9.02654561873526e-278,0.0
0.004004004004004004,4.738478341985454e-112,3.309728228159653e-205,7.244551943062404e-295
0.006006006006006006,3.039149769945307e-90,6.951849320202172e-168,1.4364957405781566e-245
0.008008008008008008,3.1586331620637385e-76,1.069152556667495e-143,2.4043102327510078e-213
0.01001001001001001,3.4675584388957664e-66,3.013354939682761e-126,6.33812309260041e-190
0.012012012012012012,1.6016954824607186e-58,7.705575954279636e-113,8.276390148739698e-172
0.014014014014014014,2.026563875548981e-52,4.233386645052353e-102,3.301573125665906e-157
0.016016016016016016,2.0549265897147468e-47,3.079758471516009e-93,4.329529922978395e-145
0.018018018018018018,3.257190475480807e-43,9.227598777694159e-86,8.25229483924657e-135
0.02002002002002002,1.255332720975406e-39,2.4156139268693042e-79,6.138875912411034e-126
0.022022022022022022,1.5975175644175273e-36,9.31304439133316e-74,3.5440159329509753e-118
0.024024024024024024,8.364226714495059e-34,7.70200874975967e-69,2.6078125231346866e-111
0.026026026026026026,2.1205359264614967e-31,1.8062071605843583e-64,3.537348381674141e-105
0.028028028028028028,2.945928121441175e-29,1.4852059713172948e-60,1.1717950755257205e-99
0.03003003003003003,2.4683534726177605e-27,5.049960431715185e-57,1.1799699095512624e-94
0.03203203203203203,1.3454982041656145e-25,8.08941142313587e-54,4.295987291395545e-90
0.03403403403403403,5.0700716446187216e-24,6.779067073955072e-51,6.501856279950845e-86
0.036036036036036036,1.3874848561367421e-22,3.236578558443129e-48,4.583766909045403e-82
0.03803803803803804,2.8717781096376313e-21,9.444547538270888e-46,1.6535212447074145e-78
0.04004004004004004,4.64980042626151e-20,1.7859260358013334e-43,3.300800514997021e-75
0.04204204204204204,6.058647646704222e-19,2.2987434656634485e-41,3.894867520318161e-72
0.044044044044044044,6.507050616573258e-18,2.099752155784643e-39,2.873087495433931e-69
0.04604604604604605,5.879484123555695e-17,1.4104701947775005e-37,1.3899371662756408e-66
0.04804804804804805,4.548506102136903e-16,7.184313431842525e-36,4.595779165877911e-64
0.050050050050050046,3.058918840866884e-15,2.849402215196012e-34,1.0764295750609024e-61
0.05205205205205205,1.8120595317727537e-14,9.00541487397638e-33,1.8426048688202998e-59
0.05405405405405406,9.565280704912623e-14,2.314309593594881e-31,2.369119859505993e-57
0.056056056056056056,4.5451820055155154e-13,4.923101294693033e-30,2.3438293740297093e-55
0.058058058058058054,1.9616633285959103e-12,8.806249968979071e-29,1.8227327815785657e-53
0.06006006006006006,7.751177662528513e-12,1.3432191516268948e-27,1.1355935859518211e-51
0.062062062062062065,2.8239215019481858e-11,1.7689515819690396e-26,5.764808616817066e-50
0.06406406406406406,9.546057852244593e-11,2.0339403997677365e-25,2.4210390016885174e-48
0.06606606606606606,3.011225799838811e-10,2.062334953318949e-24,8.527083932554962e-47
0.06806806806806806,8.908913764117315e-10,1.8607719678041633e-23,2.549920962757931e-45
0.07007007007007007,2.483514483582562e-09,1.5061795417635991e-22,6.546607328586234e-44
0.07207207207207207,6.5505504757188196e-09,1.101830260661768e-21,1.4576618096848966e-42
0.07407407407407407,1.6409657653203214e-08,7.333627827790367e-21,2.840793220922969e-41
0.07607607607607608,3.9176485309690974e-08,4.4682948653348635e-20,4.886582974346984e-40
0.07807807807807808,8.94165799960759e-08,2.5061428823107403e-19,7.476220213147495e-39
0.08008008008008008,1.9566939640410934e-07,1.3005526114729362e-18,1.024519047625221e-37
0.08208208208208208,4.116057318928716e-07,6.2739606914515735e-18,1.2656689864835385e-36
0.08408408408408408,8.343373023315483e-07,2.825639703691445e-17,1.4179471952641033e-35
0.08608608608608609,1.6333075728212275e-06,1.1928191738313483e-16,1.4484936884504898e-34
0.08808808808808809,3.0942067620665007e-06,4.737006744756721e-16,1.3560805993559869e-33
